especificacao,categoria,subcategoria,trimestre,periodo,ano,mes,valor
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Jul_2017,2017,Jul,1070.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Jul_2017,2017,Jul,553.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Jul_2017,2017,Jul,204.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Jul_2017,2017,Jul,198.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Ago_2017,2017,Ago,1471.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Ago_2017,2017,Ago,764.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Ago_2017,2017,Ago,191.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Ago_2017,2017,Ago,209.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Set_2017,2017,Set,1162.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Set_2017,2017,Set,594.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Set_2017,2017,Set,221.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Set_2017,2017,Set,215.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Out_2017,2017,Out,1565.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Out_2017,2017,Out,814.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Out_2017,2017,Out,186.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Out_2017,2017,Out,186.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Nov_2017,2017,Nov,1300.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Nov_2017,2017,Nov,757.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Nov_2017,2017,Nov,166.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Nov_2017,2017,Nov,177.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),4,Dez_2017,2017,Dez,1483.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),4,Dez_2017,2017,Dez,865.0
Importacao.Total(mil_t),Importacao,Total(mil_t),4,Dez_2017,2017,Dez,146.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),4,Dez_2017,2017,Dez,168.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Jan_2018,2018,Jan,1352.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Jan_2018,2018,Jan,796.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Jan_2018,2018,Jan,217.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Jan_2018,2018,Jan,241.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Fev_2018,2018,Fev,1034.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Fev_2018,2018,Fev,604.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Fev_2018,2018,Fev,158.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Fev_2018,2018,Fev,181.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),1,Mar_2018,2018,Mar,1192.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),1,Mar_2018,2018,Mar,753.0
Importacao.Total(mil_t),Importacao,Total(mil_t),1,Mar_2018,2018,Mar,213.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),1,Mar_2018,2018,Mar,224.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Abr_2018,2018,Abr,1098.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Abr_2018,2018,Abr,706.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Abr_2018,2018,Abr,202.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Abr_2018,2018,Abr,226.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Mai_2018,2018,Mai,753.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Mai_2018,2018,Mai,484.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Mai_2018,2018,Mai,242.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Mai_2018,2018,Mai,233.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),2,Jun_2018,2018,Jun,1451.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),2,Jun_2018,2018,Jun,949.0
Importacao.Total(mil_t),Importacao,Total(mil_t),2,Jun_2018,2018,Jun,231.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),2,Jun_2018,2018,Jun,234.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Jul_2018,2018,Jul,984.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Jul_2018,2018,Jul,627.0
Importacao.Total(mil_t),Importacao,Total(mil_t),3,Jul_2018,2018,Jul,216.0
Importacao.milhoes(dolar),Importacao,milhoes(dolar),3,Jul_2018,2018,Jul,240.0
Exportacao.Total(mil_t),Exportacao,Total(mil_t),3,Ago_2018,2018,Ago,602.0
Exportacao.milhoes(dolar),Exportacao,milhoes(dolar),3,Ago_2018,2018,Ago,488.0
